OBJECTID;Punto;Sensor;Lat;Long;Altitud;N_Geoidal;Altura_orto;X_GK;Y_GK;X_UTM;Y_UTM
1.00;1.00;1.00;-32.13;-68.89;1372.30;25.13;1347.17;2510445.50;6445863.49;510441.32;6445320.20
2.00;2.00;2.00;-32.13;-68.89;1372.20;25.12;1347.08;2510444.30;6445705.25;510440.12;6445162.02
3.00;3.00;3.00;-32.13;-68.89;1368.60;25.11;1343.49;2510445.51;6445595.36;510441.33;6445052.18
4.00;4.00;4.00;-32.13;-68.89;1370.00;25.10;1344.90;2510435.17;6445454.12;510431.00;6444911.00
5.00;5.00;5.00;-32.13;-68.89;1369.40;25.09;1344.31;2510443.61;6445305.83;510439.43;6444762.76
6.00;6.00;6.00;-32.13;-68.89;1367.00;25.08;1341.92;2510443.18;6445186.02;510439.00;6444643.00
7.00;7.00;7.00;-32.14;-68.89;1362.00;25.08;1336.92;2510443.18;6445069.97;510439.00;6444527.00
8.00;8.00;8.00;-32.14;-68.89;1364.00;25.07;1338.93;2510443.18;6444918.91;510439.00;6444376.00
9.00;9.00;9.00;-32.13;-68.89;1369.00;25.09;1343.91;2510575.23;6445698.22;510571.00;6445155.00
10.00;10.00;10.00;-32.13;-68.89;1366.00;25.09;1340.91;2510575.23;6445595.18;510571.00;6445052.00
11.00;11.00;11.00;-32.13;-68.89;1366.00;25.08;1340.92;2510571.23;6445453.12;510567.00;6444910.00
12.00;12.00;12.00;-32.13;-68.89;1366.00;25.07;1340.93;2510574.23;6445305.06;510570.00;6444762.00
13.00;13.00;13.00;-32.13;-68.89;1361.00;25.06;1335.94;2510576.23;6445185.02;510572.00;6444642.00
14.00;14.00;14.00;-32.14;-68.89;1366.00;25.05;1340.95;2510574.23;6445069.97;510570.00;6444527.00
15.00;15.00;15.00;-32.14;-68.89;1359.00;25.04;1333.96;2510575.23;6444919.91;510571.00;6444377.00
16.00;16.00;16.00;-32.13;-68.89;1361.00;25.06;1335.94;2510709.28;6445595.18;510705.00;6445052.00
17.00;17.00;17.00;-32.13;-68.89;1363.00;25.05;1337.95;2510705.28;6445451.12;510701.00;6444908.00
18.00;18.00;18.00;-32.13;-68.89;1360.00;25.04;1334.96;2510706.28;6445306.07;510702.00;6444763.00
19.00;19.00;19.00;-32.13;-68.89;1355.00;25.03;1329.97;2510707.28;6445186.02;510703.00;6444643.00
20.00;20.00;20.00;-32.14;-68.89;1361.00;25.03;1335.97;2510706.28;6445070.97;510702.00;6444528.00
21.00;21.00;21.00;-32.14;-68.89;1355.00;25.02;1329.98;2510707.28;6444920.91;510703.00;6444378.00
22.00;22.00;22.00;-32.13;-68.89;1361.00;25.04;1335.96;2510843.34;6445594.18;510839.00;6445051.00
23.00;23.00;23.00;-32.13;-68.89;1361.00;25.03;1335.97;2510841.34;6445451.12;510837.00;6444908.00
24.00;24.00;24.00;-32.13;-68.89;1359.00;25.02;1333.98;2510840.34;6445306.07;510836.00;6444763.00
25.00;25.00;25.00;-32.13;-68.89;1356.00;25.01;1330.99;2510840.34;6445186.02;510836.00;6444643.00
26.00;26.00;26.00;-32.14;-68.89;1357.00;25.00;1332.00;2510841.34;6445070.97;510837.00;6444528.00
27.00;27.00;27.00;-32.14;-68.89;1351.00;25.00;1326.00;2510841.34;6444918.91;510837.00;6444376.00
28.00;28.00;28.00;-32.14;-68.89;1348.00;24.99;1323.01;2510842.34;6444767.85;510838.00;6444225.00
29.00;29.00;29.00;-32.14;-68.89;1346.00;24.98;1321.02;2510842.34;6444632.80;510838.00;6444090.00
30.00;30.00;30.00;-32.13;-68.88;1358.00;25.00;1333.00;2510979.39;6445446.12;510975.00;6444903.00
31.00;31.00;31.00;-32.13;-68.88;1356.00;24.99;1331.01;2510971.39;6445307.07;510967.00;6444764.00
32.00;32.00;32.00;-32.13;-68.88;1356.00;24.99;1331.01;2510970.39;6445186.02;510966.00;6444643.00
33.00;33.00;33.00;-32.14;-68.88;1354.00;24.98;1329.02;2510973.39;6445070.97;510969.00;6444528.00
34.00;34.00;34.00;-32.14;-68.88;1352.00;24.97;1327.03;2510973.39;6444918.91;510969.00;6444376.00
35.00;35.00;35.00;-32.14;-68.88;1349.00;24.96;1324.04;2510973.39;6444768.85;510969.00;6444226.00
36.00;36.00;36.00;-32.14;-68.88;1353.00;24.96;1328.04;2510974.39;6444629.79;510970.00;6444087.00
37.00;37.00;37.00;-32.13;-68.88;1354.00;24.97;1329.03;2511115.45;6445305.06;511111.00;6444762.00
38.00;38.00;38.00;-32.13;-68.88;1354.00;24.97;1329.04;2511116.45;6445187.02;511112.00;6444644.00
39.00;39.00;39.00;-32.14;-68.88;1358.00;24.96;1333.04;2511118.45;6445069.97;511114.00;6444527.00
40.00;40.00;40.00;-32.14;-68.88;1361.00;24.95;1336.05;2511118.45;6444917.91;511114.00;6444375.00
41.00;41.00;41.00;-32.14;-68.88;1359.00;24.94;1334.06;2511120.45;6444769.85;511116.00;6444227.00
42.00;42.00;42.00;-32.14;-68.88;1364.00;24.94;1339.06;2511119.45;6444634.80;511115.00;6444092.00
43.00;43.00;43.00;-32.14;-68.88;1362.00;24.94;1337.06;2511254.50;6445077.97;511250.00;6444535.00
44.00;44.00;44.00;-32.14;-68.88;1369.80;24.93;1344.87;2511255.30;6444919.06;511250.80;6444376.15
